gunning_fog,pos,neg,neu,Citations,Times Cited,Number Authors,Journal Impact Factor,wc,sc,wps,dic,sixltr,insight,cause,discrep,tentat,certain,quant,numbers,jargon,Retracted
12.28,0.058,0.069,0.872,275,81,12,6.1579999999999995,13623,666,20.454954954954953,0.3035307935109741,4298,0.12478895984731705,0.1718417382368054,0.05395287381634002,0.17631945973720914,0.1185495118549512,0.13433164501211187,0.05013579975042208,0.6964692064890259,True
13.96,0.052000000000000005,0.037000000000000005,0.912,36,62,4,7.776,6302,339,18.589970501474927,0.3524278006981911,2360,0.13947953030783874,0.17423040304665185,0.054268486194858766,0.20675975880672806,0.11345604569977785,0.13741669311329738,0.043795620437956206,0.6475721993018089,True
10.22,0.062,0.039,0.899,12,48,9,3.417,8419,441,19.09070294784581,0.35598052025181137,2347,0.17460505998337095,0.2029932295997149,0.06307162370827889,0.19147167121985986,0.10797006770400283,0.12958783703527735,0.07174248723126261,0.6440194797481886,True
13.71,0.083,0.051,0.866,0,36,5,0.0,3138,147,21.346938775510203,0.3263224984066284,1136,0.1217335882727852,0.16061185468451242,0.05481198215423837,0.19407265774378585,0.08667941363926067,0.13097514340344169,0.04174633524537922,0.6736775015933716,True
16.74,0.04,0.032,0.927,3,29,2,1.652,1497,88,17.011363636363637,0.3667334669338677,507,0.1509686038744155,0.18102872411489648,0.06613226452905811,0.23112892451569805,0.13026052104208416,0.14228456913827656,0.05344021376085505,0.6332665330661322,True
13.67,0.036000000000000004,0.015,0.949,3,42,14,11.561,8107,442,18.341628959276022,0.3894165535956581,2774,0.13420500801776242,0.2024176637473788,0.06290859750832614,0.2336252621191563,0.1013938571604786,0.14283952140125816,0.06932280745035155,0.6105834464043419,True
10.44,0.042,0.058,0.9,3,27,6,1.61,5816,466,12.48068669527897,0.3930536451169189,1865,0.1545735900962861,0.2157840440165062,0.07462173314993123,0.25120357634112794,0.11932599724896835,0.17417469050894085,0.07702888583218707,0.6069463548830811,True
11.23,0.045,0.053,0.902,64,53,10,0.0,13413,710,18.89154929577465,0.3377320509953031,4231,0.1512711548497726,0.20905092074852755,0.07008126444494148,0.20987102065160665,0.13740401103407146,0.16141057183329605,0.0805934541116827,0.6622679490046971,True
14.45,0.086,0.057,0.857,2,40,6,0.0,3754,188,19.96808510638298,0.3763985082578583,1357,0.1648907831646244,0.2091102823654768,0.06632924880127862,0.20831113478955784,0.09696323921150772,0.13452317527970165,0.04901438465636655,0.6236014917421417,True
17.14,0.058,0.035,0.907,0,9,4,1.635,7752,454,17.07488986784141,0.37590299277605776,2771,0.18292053663570693,0.18137254901960784,0.06746646026831786,0.1987874097007224,0.13570691434468524,0.17131062951496387,0.06578947368421052,0.6240970072239422,True
19.72,0.07400000000000001,0.078,0.848,4,34,1,0.0,1906,80,23.825,0.3530954879328437,643,0.13693599160545644,0.1621196222455404,0.0571878279118573,0.1967471143756558,0.10912906610703044,0.15005246589716684,0.04564533053515215,0.6469045120671564,True
10.06,0.054000000000000006,0.03,0.916,8,45,2,2.766,12193,749,16.279038718291055,0.2961535307143443,3667,0.16066595587632249,0.1777249241367998,0.08513081276142047,0.18420405150496186,0.1266300336258509,0.14254080209956532,0.0709423439678504,0.7038464692856556,True
13.84,0.094,0.031,0.8740000000000001,3,21,2,3.955,4317,243,17.765432098765434,0.3847579337502896,1373,0.10933518647208708,0.18392402131109567,0.033124855223534866,0.2253880009265693,0.10771369006254344,0.12763493166550846,0.0384526291406069,0.6152420662497105,True
11.63,0.062,0.08199999999999999,0.856,28,46,6,0.0,9943,566,17.56713780918728,0.3462737604344765,2518,0.1671527707935231,0.2216634818465252,0.06587549029467968,0.2130141808307352,0.1321532736598612,0.16081665493311878,0.0441516644875792,0.6537262395655234,True
12.36,0.049,0.035,0.916,9,21,4,3.188,6375,324,19.675925925925924,0.3355294117647059,1806,0.1631372549019608,0.21145098039215687,0.08109803921568627,0.2059607843137255,0.15890196078431373,0.18462745098039213,0.08078431372549019,0.6644705882352941,True
12.78,0.043,0.046,0.911,34,67,9,8.783999999999999,11655,661,17.632375189107414,0.3721149721149721,3665,0.1758901758901759,0.2067782067782068,0.1008151008151008,0.22333762333762333,0.11874731874731875,0.16722436722436726,0.07610467610467611,0.6278850278850279,True
11.41,0.035,0.055,0.91,10,40,5,8.783999999999999,12616,875,14.418285714285714,0.3255389980976538,3760,0.13086556753329107,0.1840519974635384,0.060161699429296125,0.19562460367786932,0.113427393785669,0.1414870006341154,0.0563570069752695,0.6744610019023463,True
12.95,0.057,0.061,0.882,77,35,5,8.783999999999999,4311,230,18.74347826086957,0.3045697054047785,1286,0.1231732776617954,0.1767571329157968,0.0519601020644862,0.18510786360473208,0.1002087682672234,0.1268847135235444,0.050104384133611686,0.6954302945952215,True
14.17,0.056,0.029,0.915,4,23,6,6.426,5578,516,10.810077519379846,0.3483327357475798,1549,0.16959483685908927,0.22068841878809609,0.09214772319827896,0.23072785944783075,0.1292577984940839,0.1461097167443528,0.05360344209394048,0.6516672642524202,True
17.08,0.048,0.036000000000000004,0.915,5,22,4,2.766,3421,215,15.911627906976745,0.3519438760596317,1017,0.12861736334405144,0.16515638702133878,0.06840105232388191,0.2262496346097632,0.1335866705641625,0.15346389944460684,0.05875475007307805,0.6480561239403684,True
12.89,0.04,0.025,0.934,2,38,7,11.561,10062,491,20.49287169042769,0.4050884516000795,2530,0.2022460743390976,0.19181077320612205,0.0653945537666468,0.24855893460544626,0.14201947922878155,0.16984694891671634,0.06787914927449812,0.5949115483999206,True
14.34,0.055,0.019,0.926,8,19,5,2.465,4334,275,15.76,0.3816335948315644,1296,0.1654360867558837,0.2088140286109829,0.09783110290724503,0.2277341947392709,0.14720812182741114,0.2115828334102446,0.05191508998615597,0.6183664051684357,True
13.78,0.046,0.025,0.929,34,58,4,8.783999999999999,5916,296,19.986486486486488,0.3292765382014875,1359,0.1337052062204192,0.20453008789722785,0.08231913455037188,0.21044624746450305,0.11443542934415145,0.13979039891818795,0.06288032454361055,0.6707234617985125,True
12.73,0.075,0.022,0.903,0,18,8,2.404,4066,352,11.551136363636365,0.3566158386620757,1367,0.1483030004918839,0.1987211018199705,0.06542056074766353,0.2088047220855878,0.12838170191834727,0.16305951795376292,0.049680275454992616,0.6433841613379243,True
11.04,0.048,0.064,0.888,8,37,6,8.783999999999999,11648,622,18.726688102893892,0.3219436813186813,3347,0.15882554945054944,0.1935096153846154,0.05614697802197802,0.21531593406593408,0.13787774725274726,0.14886675824175824,0.050051510989010985,0.6780563186813187,True
9.97,0.053,0.036000000000000004,0.911,0,56,5,8.783999999999999,11304,652,17.337423312883438,0.2915782024062279,4089,0.12305378627034674,0.16286270346779902,0.07227530077848549,0.1941790516631281,0.10987261146496816,0.13021939136588814,0.06378273177636233,0.7084217975937721,True
13.21,0.036000000000000004,0.112,0.852,6,23,6,2.766,5265,473,11.131078224101481,0.33618233618233617,2021,0.13713200379867047,0.16657169990503326,0.0603988603988604,0.20341880341880345,0.1181386514719848,0.14055080721747387,0.06628679962013295,0.6638176638176638,True
13.27,0.053,0.023,0.925,12,52,2,8.783999999999999,11205,496,22.590725806451612,0.29825970548862113,4329,0.1211958946898706,0.1614457831325301,0.05809906291834002,0.18661311914323964,0.09522534582775546,0.12717536813922356,0.044890673806336455,0.7017402945113789,True
11.27,0.043,0.028,0.93,0,23,6,10.79,3905,207,18.864734299516908,0.2970550576184379,1159,0.1172855313700384,0.15492957746478872,0.03277848911651728,0.1736235595390525,0.10038412291933416,0.12548015364916773,0.04020486555697824,0.7029449423815621,True
14.51,0.049,0.102,0.8490000000000001,14,70,14,10.79,16172,661,24.465960665658088,0.3527083848627257,4414,0.19107098689092256,0.20244867672520409,0.1004204798417017,0.21778382389314865,0.14271580509522633,0.15724709374227058,0.08360128617363344,0.6472916151372743,True
11.55,0.065,0.019,0.916,32,23,9,10.79,6337,344,18.421511627906977,0.32428593971910996,2146,0.13855136499921095,0.17768660249329335,0.06391036768186839,0.19914786176424176,0.10667508284677292,0.13807795486823418,0.0688022723686287,0.67571406028089,True
14.03,0.053,0.036000000000000004,0.911,15,34,6,10.79,6668,461,14.464208242950107,0.35287942411517703,2085,0.15986802639472106,0.20125974805039,0.0625374925014997,0.21805638872225555,0.1282243551289742,0.15956808638272346,0.09253149370125976,0.6471205758848231,True
15.24,0.04,0.058,0.902,2,11,4,2.134,12084,624,19.365384615384613,0.3741310824230387,4080,0.18917576961271104,0.2123469049983449,0.1157729228732208,0.2298907646474677,0.16724594505130752,0.18851373717312148,0.11171797418073487,0.6258689175769613,True
15.06,0.08800000000000001,0.066,0.846,35,27,14,2.766,7968,408,19.529411764705888,0.3758785140562249,3100,0.13052208835341367,0.19866967871485944,0.053212851405622486,0.2153614457831325,0.1290160642570281,0.15775602409638553,0.04907128514056225,0.6241214859437751,True
11.96,0.039,0.07400000000000001,0.888,30,50,11,5.9220000000000015,3851,214,17.99532710280374,0.2773305634900026,1233,0.10932225396001036,0.15061023110880292,0.05868605556998184,0.17086471046481433,0.10386912490262268,0.11217865489483253,0.047520124642949885,0.7226694365099974,True
12.01,0.032,0.058,0.91,24,41,10,5.9220000000000015,3374,198,17.040404040404034,0.3073503260225252,1085,0.12774155305275636,0.17131001778304686,0.08120924718435092,0.1804979253112033,0.1117368109069354,0.13633669235328985,0.06579727326615294,0.6926496739774748,True
12.84,0.045,0.07400000000000001,0.8809999999999999,22,42,9,10.79,8446,647,13.054095826893356,0.3074828321098745,2707,0.14397347856973716,0.1884915936538006,0.06961875443997158,0.18612360880890366,0.11520246270423867,0.1285815770779067,0.05955481884915936,0.6925171678901255,True
11.47,0.046,0.039,0.915,7,73,14,5.127999999999999,7231,434,16.661290322580644,0.3010648596321394,2277,0.1616650532429816,0.20329138431752172,0.09445443230535196,0.18393030009680544,0.10994329968192504,0.1510164569215876,0.0593278937906237,0.6989351403678605,True
13.04,0.07200000000000001,0.07400000000000001,0.8540000000000001,11,110,3,3.386,7604,330,23.04242424242425,0.3294318779589689,2810,0.12690689110994213,0.18661230931088896,0.04129405576012625,0.19831667543398213,0.09942135718043137,0.12506575486586008,0.06299316149395055,0.6705681220410311,True
10.84,0.05,0.03,0.92,11,61,5,8.783999999999999,14243,846,16.835697399527188,0.3679702309906621,4658,0.1824053921224461,0.22474197851576214,0.08691989047251282,0.2224250509021976,0.1409113248613354,0.16408060099698096,0.068805729130099,0.6320297690093379,True
15.18,0.116,0.049,0.835,2,70,3,2.238,7029,419,16.77565632458234,0.360364205434628,2213,0.10812348840517856,0.1835253947930004,0.044956608336890025,0.19846350832266324,0.11637501778346848,0.1694408877507469,0.04225352112676056,0.6396357945653721,True
10.84,0.076,0.077,0.847,0,148,2,0.0,9474,504,18.797619047619047,0.3534937724298079,3126,0.12624023643656326,0.18007177538526495,0.06132573358665822,0.2154317078319612,0.11716276124129195,0.15030610090774751,0.048131728942368585,0.646506227570192,True
12.59,0.081,0.062,0.857,0,78,3,2.219,5402,238,22.697478991596647,0.32025175860792304,2161,0.13180303591262496,0.1616068122917438,0.053498704183635684,0.18159940762680488,0.09385412810070344,0.1266197704553869,0.04942613846723437,0.679748241392077,True
14.16,0.071,0.109,0.8190000000000001,2,13,4,0.0,1799,101,17.811881188118807,0.3546414674819344,615,0.1178432462479155,0.1584213451917732,0.05169538632573652,0.2212340188993885,0.10116731517509728,0.13841022790439134,0.04168982768204558,0.6453585325180655,True
13.68,0.11,0.02,0.87,2,3,2,0.0,934,50,18.68,0.32119914346895073,338,0.09528907922912204,0.1670235546038544,0.031049250535331908,0.18522483940042828,0.08137044967880086,0.12205567451820128,0.031049250535331908,0.6788008565310493,True
10.67,0.035,0.039,0.926,4,24,10,0.0,4563,344,13.26453488372093,0.3138286215209292,1464,0.1417926802542187,0.1921981152750384,0.07166337935568705,0.1779531010300241,0.1126451895682665,0.13280736357659434,0.045584045584045586,0.6861713784790708,True
12.87,0.037000000000000005,0.037000000000000005,0.926,23,42,11,2.766,11905,853,13.956623681125441,0.3083578328433431,4249,0.1249895002099958,0.1742965140697186,0.05233095338093238,0.18311633767324653,0.10726585468290634,0.13086938261234776,0.052666946661066784,0.6916421671566568,True
9.58,0.054000000000000006,0.041,0.905,26,28,3,5.9220000000000015,6120,477,12.830188679245285,0.33464052287581697,1590,0.1477124183006536,0.18823529411764706,0.05441176470588235,0.18888888888888888,0.09869281045751634,0.13104575163398693,0.0446078431372549,0.6653594771241831,True
14.44,0.043,0.049,0.908,7,41,4,6.1579999999999995,8659,496,17.45766129032258,0.3768333525811295,2881,0.15405936020325672,0.2403279824460099,0.07425799745929093,0.22947222543018825,0.13996997343804135,0.16399122300496596,0.06825268506755977,0.6231666474188705,True
11.43,0.069,0.038,0.894,13,83,2,11.561,13567,611,22.204582651391163,0.4154934768187514,3758,0.19009360949362425,0.22237782855458094,0.10636102307068622,0.2576840863860839,0.13798186776737673,0.19304194000147412,0.10503427434215376,0.5845065231812486,True
10.97,0.06,0.064,0.877,17,143,1,3.483,13568,711,19.08298171589311,0.3788325471698113,4710,0.14386792452830188,0.19686025943396224,0.05616155660377359,0.2361438679245283,0.11740860849056604,0.16015625,0.045179834905660375,0.6211674528301887,True
12.68,0.048,0.024,0.927,19,67,11,2.766,11809,1062,11.119585687382298,0.3508341095774409,3691,0.17190278601066986,0.20187992209331865,0.08476585655008892,0.2021339656194428,0.13100177830468288,0.157337623846219,0.06884579557964264,0.6491658904225589,True
10.63,0.037000000000000005,0.044,0.919,26,33,11,2.219,10798,620,17.416129032258066,0.3515465827005001,3848,0.16799407297647712,0.21818855343582144,0.08288571957769958,0.19577699573995186,0.11316910538988705,0.14521207631042785,0.06260418596036303,0.6484534172994999,True
16.78,0.044,0.061,0.895,35,75,10,8.44,5590,219,25.525114155251146,0.30572450805008944,1927,0.1490161001788909,0.1917710196779964,0.07674418604651162,0.173345259391771,0.12790697674418605,0.14347048300536672,0.057960644007155636,0.6942754919499106,True
13.94,0.066,0.045,0.888,0,14,1,2.766,8911,640,13.9234375,0.4383346425765907,2985,0.11704634721131188,0.2407137246100325,0.049826057681517225,0.26394344069128045,0.10829312086185612,0.14801930198630905,0.0509482661878577,0.5616653574234093,True
15.18,0.042,0.051,0.907,10,30,5,1.564,4603,263,17.50190114068441,0.3704106017814469,1397,0.12948077340864653,0.2124701281772757,0.07625461655442102,0.2374538344557897,0.10558331522919837,0.1566369758852922,0.06408863784488378,0.6295893982185532,True
12.15,0.068,0.08,0.852,0,14,6,0.0,1852,114,16.245614035087723,0.3363930885529158,585,0.1263498920086393,0.15658747300215986,0.06911447084233263,0.20248380129589635,0.12580993520518358,0.1490280777537797,0.08045356371490281,0.6636069114470842,True
11.35,0.081,0.022,0.8959999999999999,2,20,4,0.0,8403,453,18.549668874172184,0.3903367844817327,2826,0.11995715815780078,0.20456979650124954,0.040937760323693916,0.18231583958110198,0.1061525645602761,0.1464952992978698,0.04474592407473521,0.6096632155182673,True
11.14,0.044,0.017,0.939,10,32,12,2.766,15899,914,17.394967177242894,0.3749292408327568,5084,0.1343480722057991,0.19875463865651927,0.05937480344675765,0.2258003648028178,0.11541606390339015,0.15026102270583055,0.07516195987169004,0.6250707591672433,True
15.69,0.083,0.029,0.887,0,36,20,0.0,5376,715,7.518881118881119,0.3727678571428572,1734,0.17726934523809526,0.1977306547619048,0.08035714285714286,0.22451636904761904,0.14285714285714285,0.1605282738095238,0.06324404761904763,0.6272321428571428,True
11.38,0.039,0.05,0.911,13,32,12,2.8289999999999997,7801,594,13.132996632996633,0.3586719651326753,2400,0.17190103832841944,0.2417638764260993,0.0988334828868094,0.2189462889373157,0.13241892065119856,0.1738238687347776,0.08614280220484552,0.6413280348673247,True
16.83,0.051,0.029,0.92,27,49,10,7.273,10622,1071,9.917833800186743,0.38749764639427603,3571,0.24025607230276785,0.2531538316701186,0.1734136697420448,0.2678403313876859,0.2197326303897571,0.25202410092261346,0.17143664093391076,0.6125023536057239,True
11.1,0.059,0.059,0.882,3,35,7,2.766,9639,567,17.0,0.3219213611370474,2543,0.14254590725178962,0.2089428363938168,0.062247121070650474,0.18352526195663446,0.13227513227513227,0.1437908496732026,0.06577445793132068,0.6780786388629526,True
15.13,0.061,0.096,0.843,7,47,8,1.9980000000000002,4313,423,10.196217494089836,0.37931833990262,1298,0.1405054486436355,0.15163459309065616,0.06306515186645027,0.21840945977278,0.12357987479712496,0.17992116856016693,0.050313007187572464,0.62068166009738,True
14.32,0.08199999999999999,0.033,0.884,2,31,5,1.564,3881,199,19.502512562814072,0.3081679979386756,1321,0.12986343725843855,0.16774027312548312,0.043287812419479516,0.1821695439319763,0.08348363823756763,0.10950785879927853,0.047668126771450665,0.6918320020613244,True
14.18,0.061,0.075,0.8640000000000001,7,23,1,0.0,753,43,17.511627906976745,0.3572377158034529,279,0.1102257636122178,0.16600265604249667,0.0451527224435591,0.20717131474103587,0.11155378486055777,0.14873837981407706,0.05444887118193891,0.6427622841965471,True
16.17,0.112,0.058,0.83,8,59,2,2.8510000000000004,3876,164,23.63414634146341,0.3152734778121775,1396,0.10887512899896801,0.15608875128998967,0.05237358101135192,0.17905056759545926,0.0957172342621259,0.12538699690402474,0.04231166150670795,0.6847265221878225,True
11.26,0.064,0.07,0.867,6,63,2,1.564,8492,390,21.774358974358975,0.3767074894017899,2866,0.14955252001884126,0.2443476212906265,0.09644371172868582,0.2164390014130947,0.13601036269430053,0.16980687706076308,0.07783796514366463,0.6232925105982101,True
11.93,0.033,0.018000000000000002,0.949,0,24,4,3.072,2170,133,16.315789473684212,0.3428571428571429,703,0.09631336405529954,0.19308755760368665,0.03732718894009217,0.2073732718894009,0.08617511520737328,0.1271889400921659,0.04101382488479263,0.6571428571428571,True
11.37,0.08,0.032,0.889,5,23,8,1.137,1770,153,11.568627450980392,0.2949152542372881,645,0.10282485875706214,0.12090395480225988,0.04406779661016949,0.1615819209039548,0.1,0.1367231638418079,0.05593220338983052,0.7050847457627119,True
14.15,0.062,0.079,0.8590000000000001,0,43,6,2.766,6372,497,12.820925553319919,0.3298807281858129,2553,0.12397991211550535,0.16917765222849968,0.05555555555555555,0.1950721908349027,0.1016949152542373,0.1337099811676083,0.05053358443188952,0.6701192718141871,True
14.76,0.075,0.036000000000000004,0.889,2,48,6,3.072,4043,225,17.968888888888888,0.3670541676972545,1409,0.1323274795943606,0.2018303240168192,0.04551075933712589,0.19515211476626268,0.1009151620084096,0.1266386346772199,0.05342567400445214,0.6329458323027455,True
13.67,0.073,0.068,0.86,10,14,5,3.8310000000000004,3874,207,18.714975845410628,0.34796076406814663,1405,0.1362932369643779,0.1814661848218896,0.05162622612287042,0.2132163138874548,0.10041300980898296,0.11125451729478576,0.036138358286009295,0.6520392359318534,True
21.26,0.059,0.08900000000000001,0.852,0,24,8,0.0,3915,234,16.73076923076923,0.3642401021711367,1176,0.14763729246487867,0.17803320561941252,0.08173690932311622,0.21226053639846745,0.12541507024265644,0.16424010217113666,0.09859514687100894,0.6357598978288633,True
12.83,0.06,0.13699999999999998,0.8029999999999999,8,22,9,0.0,6081,403,15.089330024813895,0.3593159019898043,1718,0.15046867291563887,0.20736720934056896,0.06495642164117743,0.21624732774214767,0.12711725045222824,0.16000657786548264,0.06051636244038808,0.6406840980101958,True
12.52,0.099,0.044,0.858,34,145,3,0.0,30039,1496,20.079545454545453,0.34272112919870834,10551,0.13282732447817835,0.1892206797829488,0.048104131295981886,0.19564566064116648,0.11441792336629047,0.14777455973900594,0.06185292453144245,0.6572788708012917,True
21.55,0.034,0.022,0.944,53,47,3,0.0,5500,564,9.75177304964539,0.30327272727272725,1548,0.15109090909090908,0.17836363636363636,0.06127272727272728,0.19763636363636364,0.13254545454545455,0.1410909090909091,0.056363636363636366,0.6967272727272728,True
13.48,0.045,0.073,0.882,3,21,2,2.404,2592,147,17.632653061224488,0.3410493827160494,899,0.16589506172839505,0.21180555555555555,0.08680555555555555,0.21219135802469136,0.11844135802469136,0.15432098765432098,0.08024691358024691,0.6589506172839505,True
12.43,0.068,0.105,0.828,2,16,3,0.0,1952,129,15.131782945736434,0.2822745901639344,645,0.09887295081967214,0.14959016393442626,0.029713114754098362,0.17315573770491804,0.0778688524590164,0.1091188524590164,0.021004098360655737,0.7177254098360656,True
14.04,0.046,0.02,0.933,2,61,12,2.772,13226,854,15.48711943793911,0.3218660214728565,4337,0.1540148192953274,0.16596098593679118,0.07160139119915318,0.1989263571752609,0.1385906547709058,0.15477090579162256,0.06328443973990625,0.6781339785271435,True
13.34,0.055,0.018000000000000002,0.927,19,75,8,3.73,12153,565,21.509734513274328,0.3125154282893113,3468,0.12902164074714062,0.1734551139636304,0.05307331523080721,0.18053155599440468,0.0969307989796758,0.12745824076359746,0.061301736196823824,0.6874845717106888,True
13.81,0.06,0.053,0.887,8,54,5,2.173,3733,249,14.991967871485945,0.31690329493704794,1275,0.14224484328957945,0.1698365925529065,0.07366729172247521,0.1867130993838736,0.12724350388427538,0.13608357889097242,0.05330833110099116,0.6830967050629521,True
14.46,0.059,0.065,0.8759999999999999,2,13,6,0.0,2621,237,11.059071729957807,0.32888210606638685,959,0.09843571156047312,0.14421976344906526,0.052651659671880964,0.1877146127432278,0.08889736741701641,0.1186570011446013,0.045784051888592144,0.6711178939336131,True
14.72,0.081,0.059,0.86,4,2,6,0.0,2039,213,9.572769953051644,0.3751839136831781,655,0.12064737616478664,0.18538499264345268,0.043158410985777336,0.2280529671407553,0.11378126532614025,0.129475232957332,0.038254046101029913,0.6248160863168221,True
12.36,0.056,0.078,0.866,5,26,7,7.776,5279,321,16.445482866043612,0.2742943739344573,1884,0.10816442508050768,0.15249100208372798,0.0469785944307634,0.1636673612426596,0.0825913998863421,0.1002083727978784,0.03731767380185641,0.7257056260655428,True
13.34,0.068,0.085,0.846,0,22,4,0.0,2910,208,13.990384615384615,0.3147766323024055,976,0.12439862542955328,0.1618556701030928,0.07010309278350517,0.1831615120274914,0.0993127147766323,0.1415807560137457,0.05601374570446736,0.6852233676975945,True
13.18,0.036000000000000004,0.215,0.7490000000000001,0,8,9,1.588,3313,362,9.15193370165746,0.3658315725928162,1130,0.10896468457591307,0.18955629338967706,0.0504074856625415,0.2393600965891941,0.08270449743434953,0.11711439782674313,0.0368246302444914,0.6341684274071838,True
11.57,0.059,0.022,0.919,19,47,14,7.273,7072,444,15.927927927927929,0.32324660633484165,2005,0.16487556561085973,0.19697398190045248,0.0847002262443439,0.21097285067873306,0.1334841628959276,0.15526018099547512,0.08540723981900453,0.6767533936651584,True
14.6,0.062,0.068,0.87,0,13,6,0.0,2712,225,12.053333333333333,0.33702064896755163,995,0.10619469026548672,0.15376106194690264,0.049041297935103235,0.2042772861356932,0.0995575221238938,0.13053097345132744,0.03687315634218289,0.6629793510324484,True
13.04,0.07200000000000001,0.026,0.902,0,42,4,1.9980000000000002,7297,443,16.47178329571106,0.3347951212827189,2218,0.15828422639440867,0.19980814033164315,0.08044401808962587,0.19254488145813348,0.11552692887488007,0.14115389886254626,0.060298752912155675,0.6652048787172811,True
12.53,0.053,0.08800000000000001,0.8590000000000001,28,41,5,9.616,9648,394,24.487309644670052,0.3345771144278607,2714,0.11650082918739635,0.1884328358208955,0.053275290215588716,0.20480928689883915,0.1066542288557214,0.12976782752902155,0.05182421227197346,0.6654228855721394,True
14.96,0.081,0.059,0.86,4,2,1,0.0,2033,205,9.917073170731706,0.3767830791933104,650,0.1219872110181997,0.18642400393507133,0.04377766847024103,0.2292179045745204,0.1146089522872602,0.13133300541072307,0.038366945400885394,0.6232169208066896,True
14.14,0.059,0.053,0.888,0,8,5,0.0,1531,109,14.045871559633028,0.3122142390594383,596,0.11103853690398433,0.15022860875244934,0.034617896799477466,0.16721097322011758,0.06923579359895493,0.10254735467015023,0.022207707380796863,0.6877857609405618,True
14.43,0.058,0.033,0.909,0,13,3,1.338,2062,191,10.795811518324607,0.3802133850630456,718,0.13724539282250242,0.1644034917555771,0.03976721629485936,0.2196896217264792,0.09262851600387972,0.15227934044616878,0.03976721629485936,0.6197866149369544,True
14.43,0.075,0.091,0.8340000000000001,4,17,4,1.564,4113,201,20.46268656716418,0.34962314612205203,1330,0.11670313639679067,0.1925601750547046,0.05640651592511549,0.2151714077315828,0.09919766593727207,0.1412594213469487,0.054704595185995616,0.650376853877948,True
11.8,0.053,0.078,0.8690000000000001,0,29,3,1.338,2376,207,11.478260869565215,0.39057239057239057,806,0.15151515151515152,0.2222222222222222,0.09048821548821548,0.2554713804713805,0.12331649831649832,0.16498316498316498,0.07112794612794612,0.6094276094276094,True
12.89,0.085,0.043,0.872,3,28,2,1.338,6264,529,11.841209829867676,0.3491379310344828,1871,0.14703065134099616,0.17911877394636014,0.05555555555555555,0.19157088122605365,0.1082375478927203,0.13505747126436782,0.0477330779054917,0.6508620689655172,True
11.34,0.103,0.061,0.836,0,22,3,1.564,3594,216,16.63888888888889,0.389259877573734,1202,0.1196438508625487,0.21869782971619364,0.04897050639955482,0.2409571508069004,0.110740122426266,0.16499721758486366,0.043127434613244295,0.6107401224262661,True
